Бренд Gramicci | Clothing Encyclopedia;Brand Gramicci | Clothing Encyclopedia
Поиск;Søgning
Главная;Hjem
Бренд Gramicci;Brand Gramicci
Создание;Oprettelse
1982 г.;1982
Основатель;Grundlægger
Майк Грэм (Mike Graham);Mike Graham
Разработка;Udvikling
США;USA
Главный офис;Hovedkontor
США, Нью-Йорк;USA, New York
Сайт;Hjemmeside
Gramicci - это компания, специализирующаяся на одежде для активного отдыха и скалолазания. Компания была основана в 1982 году Майком Грэмом, участником легендарной команды скалолазов;Gramicci er et firma specialiseret i tøj til aktiv fritid og klatring. Firmaet blev grundlagt i 1982 af Mike Graham, et medlem af den legendariske klatrehold 
из Йосемити.;fra Yosemite.
Бренд Gramicci известен своими новшествами, в частности, запатентованным клином в области промежности и встроенным нейлоновым ремнем, которые оказали влияние на формирование отрасли производства товаров для активного отдыха.;Brandet Gramicci er kendt for sine innovationer, især det patenterede skridtgusset og den integrerede nylonbælte, som har haft indflydelse på udviklingen af industrien for produkter til aktiv fritid.
Компания предлагает широкий ассортимент продукции, включая шорты, брюки, футболки и верхнюю одежду, которые разработаны с учетом потребностей любителей активного отдыха и скалолазов. Одежда отличается комфортом, прочностью и свободой движений, что делает ее подходящей для различных видов активного отдыха, от скалолазания до походов.;Firmaet tilbyder et bredt udvalg af produkter, herunder shorts, bukser, t-shirts og overtøj, designet med behovene for udendørs entusiaster og klatrere i tankerne. Tøjet er kendt for sin komfort, holdbarhed og bevægelsesfrihed, hvilket gør det velegnet til forskellige typer af aktiv fritid, fra klatring til vandring.
Бренд пользуется популярностью среди любителей активного отдыха и также стал популярен в модном мире благодаря появлению тренда;Brandet er populært blandt udendørs entusiaster og er også blevet populært i modeverdenen på grund af en trend
, который включает ношение одежды для активного отдыха в повседневной жизни.;der inkluderer iført tøj til aktiv fritid i dagligdagen.
Содержание;Indhold
Инновации;Innovationer
История;Historie
Одежда;Tøj
Инновации бренда Gramicci;Gramicci brand innovationer
Система встроенного ремня;System med integreret bælte
В продукции Gramicci использован концепт интегрированного ремня, разработанного с учетом удобства и гибкости в процессе носки. Такой ремень позволяет легко подстроить посадку шорт или брюк, обеспечивая комфорт даже при активных движениях.;I Gramiccis produkter anvendes konceptet med et integreret bælte, udviklet med henblik på bekvemmelighed og fleksibilitet i brug. Et sådant bælte gør det nemt at justere pasformen af shorts eller bukser, og sikrer komfort selv under aktive bevægelser.
Система встроенного ремня Gramicci;Gramicci integreret bælte system
Система ремня предусматривает пряжку для быстрого и легкого закрепления облегчая процесс одевания и снятия шорт. Это инновация стала значимым прорывом в одежде для активного отдыха.;Bæltesystemet inkluderer en spænde for hurtig og nem fastgørelse, hvilket letter processen med at tage shorts på og af. Denne innovation blev en betydelig gennembrud i tøj til aktiv fritid.
Крой одежды;Tøjdesign
"Особенностью дизайна одежды Gramicci является уникальный крой в области промежности, который обеспечивает неограниченное свободу движения. Это достигается за счет использования так называемого ""системы складок"", или ""системы клиньев"", обеспечивающей дополнительное пространство и позволяющей телу двигаться без ограничений.";"En særlig egenskab ved Gramicci tøjdesign er det unikke skridtgusset, som giver ubegrænset bevægelsesfrihed. Dette opnås ved brug af det såkaldte ""fold-system"" eller ""gusset-system"", der giver ekstra plads og lader kroppen bevæge sig uden begrænsninger."
Уникальная промежность со складками Gramicci которая позволяет развернуть ноги на 180 градусов;Gramiccis unikke skridtgusset, som tillader at sprede benene 180 grader
При этом такой дизайн не только улучшает функциональность одежды, но и придает ей особенный стиль. С помощью этого уникального кроя, брюки и шорты Gramicci обеспечивают полную свободу движения, необходимую для активного отдыха и занятий спортом, а также для повседневной жизни.;Dette design forbedrer ikke kun tøjets funktionalitet, men giver det også en særlig stil. Med dette unikke design giver Gramicci bukser og shorts fuld bevægelsesfrihed, nødvendig for aktiv fritid og sport, samt til dagligdagen.
"История бренда берет начало из Калифорнии, 1970-х годов, когда группа скалолазов-первопроходцев, известных как Stonemasters, обосновалась в национальном парке Йосемити. Stonemasters культивировали новый подход к скалолазанию, ставя во главу угла скорость и стиль, а не традиционные техники. Так возникло ""свободное лазание"" - минималистская форма лазания, в которой уменьшается зависимость от снаряжения и отдается предпочтение чистым, плавным движениям.";"Brandets historie begynder i Californien i 1970'erne, da en gruppe banebrydende klatrere, kendt som Stonemasters, bosatte sig i Yosemite Nationalpark. Stonemasters kultiverede en ny tilgang til klatring, der prioriterede hastighed og stil frem for traditionelle teknikker. Dette førte til opståelsen af ""fri klatring"" - en minimalistisk form for klatring, hvor der er mindre afhængighed af udstyr og en præference for rene, glatte bevægelser."
Стиль Stonemasters не ограничивался только методами лазания. Они проникал и в их стиль одежды, отражая тенденции контркультуры той эпохи. Stonemasters черпали вдохновение из разных источников: банданы и майки с пейсли, вдохновленные Джими Хендриксом, духовные уроки Карлоса Кастаньеды, стремление повторить отточенные мускулистые движения Брюса Ли.;Stonemasters stil var ikke begrænset til klatringsteknikker. Det gennemsyrede også deres tøjstil, der afspejlede tidens modkulturelle tendenser. Stonemasters hentede inspiration fra forskellige kilder: bandanaer og paisley t-shirts inspireret af Jimi Hendrix, de åndelige læresætninger af Carlos Castaneda, og et ønske om at efterligne Bruce Lees strømlinede, muskuløse bevægelser.
Каталог одежды Gramicci 1996 г.;Gramicci tøj katalog 1996
Каталог одежды Gramicci 1997 г.;Gramicci tøj katalog 1997
Новый подход к альпинизму требовал и новой униформы. Вначале была выбрана прочная и практичная одежда: ярко-белые малярные штаны, старые джинсы и оливково-красные военные жилеты из армейских магазинов. Однако по мере того, как восхождения становились все более сложными, потребовалось более специализированное решение.;En ny tilgang til bjergbestigning krævede også en ny uniform. I starten blev robust og praktisk tøj valgt: skarpt hvide malerbukser, gamle jeans og olivenrøde militærveste fra hærbutikker. Men som bestigningerne blev mere komplekse, blev der brug for en mere specialiseret løsning.
Каменщик Майк Грэхем, обладающий дизайнерским талантом, оказался идеальным человеком для решения этой задачи. Грэхем занимался изготовлением легких складных порталетов для ночных восхождений и имел небольшой бизнес по продаже обуви для подъема. Из своего гаража в Окснарде, штат Вентура, он отправился в путь, чтобы создать первые настоящие альпинистские шорты. Подобно тому, как Stonemasters внедряли инновации в скалолазание, Грэм заимствовал элементы из широкого спектра конструкций, чтобы создать нечто совершенно уникальное и оригинальное в своих шортах.;Murarbejderen Mike Graham, der havde designtalent, viste sig at være den perfekte mand til opgaven. Graham fremstillede lette sammenklappelige toiletter til natbestigninger og havde en lille forretning, der solgte klatresko. Fra sin garage i Oxnard, Ventura County, begyndte han at skabe de første rigtige klatreshorts. Ligegyldigt hvordan Stonemasters innoverede i klatring, lånte Graham elementer fra en bred vifte af designs for at skabe noget helt unikt og originalt i sine shorts.
Дизайн фирменной одежды Gramicci включил в себя несколько инновационных элементов. Промежность со складками, заимствованная из брюк кунг-фу, была интегрирована в паховую область, обеспечивая полную гибкость на 180 градусов. Материалом для одежды послужил прочный холст, вдохновленный рабочей одеждой, чтобы выдерживать сложные условия эксплуатации. Кроме того, в талию встроен пояс из нейлоновой тесьмы для надежной фиксации. Эта деталь, созданная по образцу лямок рюкзака, позволяла регулировать их одной рукой, а эластичный пояс обеспечивал комфорт.;Designet af Gramiccis signaturtøj inkluderede flere innovative elementer. Et skridt med folder, lånt fra kung-fu bukser, blev integreret i skridtområdet, hvilket giver fuld fleksibilitet på 180 grader. Tøjet var lavet af stærk lærred, inspireret af arbejdstøj, for at modstå hårde betingelser. Desuden var et bælte af nylonbånd indbygget i taljen for sikker fastgørelse. Denne detalje, skabt efter et rygsækstropmønster, tillod justering med én hånd, mens et elastisk bælte sikrede komfort.
"В 1982 г. компания Gramicci была официально основана после того, как Майк Грэм несколько лет продавал друзьям одежду ручной работы. Уникальное название марки появилось в результате шутливого случая: группа Stonemasters, включая Грэма, попыталась совершить первое итальянское восхождение на печально известную вершину Йосемити Half Dome, хотя никто из них не был итальянцем. Это событие привело к появлению итальянских прозвищ, и для Грэма было придумано прозвище ""Gramicci"". Этот псевдоним сохранился, и когда пришло время назвать новый бренд, придуманный итальянский термин был признан идеальным.";"I 1982 blev Gramicci officielt grundlagt efter Mike Graham solgte håndlavet tøj til venner i flere år. Mærkets unikke navn opstod som et resultat af en sjov tilfældighed: Stonemasters-gruppen, inklusiv Graham, forsøgte at lave den første italienske bestigning af den berygtede Yosemite Half Dome, selvom ingen af dem var italienske. Denne begivenhed førte til fremkomsten af italienske kaldenavne, og for Graham blev kaldenavnet ""Gramicci"" fundet på. Dette alias forblev, og da det blev tid til at navngive det nye mærke, blev det opdigtede italienske udtryk betragtet som perfekt."
Совместная коллекция одежды Gramicci и Adsum;Gramicci og Adsums fælles tøjkollektion
После успешного выпуска шорт компания приступила к производству брюк. Благодаря связям, которые Грэм создал за годы занятий альпинизмом, новость об этих прочных, но удивительно гибких брюках, известных как G-Pants, быстро распространилась. Их привлекательность было легко понять: брюки G-Pants были прочными, практичными, хорошо сидящими и эстетически привлекательными. В то время, когда лайкра проникала в мир альпинистской одежды, эти холщовые штаны, напоминающие скорее рабочую одежду, чем броские неоновые наряды, которые стали появляться на скалах, представляли собой свежую альтернативу.;Efter en succesfuld lancering af shorts begyndte virksomheden at producere bukser. Takket være de forbindelser, Graham havde etableret gennem årene med bjergbestigning, spredtes nyheden hurtigt om disse holdbare, men overraskende fleksible bukser, kendt som G-Pants. Deres appel var let at forstå: G-Pants var holdbare, praktiske, godt tilpassede og æstetisk tiltalende. På et tidspunkt, hvor lycra infiltrerede klatretøjets verden, repræsenterede disse lærredsbukser, der mere mindede om arbejdstøj end de iøjnefaldende neonoutfits, der begyndte at dukke op på klipperne, en frisk alternativ.
"Гениальность конструкции Gramicci заключается не только в ее пригодности для сложных скалолазных маршрутов, но и в ее широкой привлекательности, выходящей за рамки скалолазного сообщества. К середине 1980-х годов часть серферов и скейтеров начала ценить долговечность и характерный логотип ""бегущего человека"" на этих скалолазных брюках.";"Genialiteten af Gramicci-designet ligger ikke kun i dets egnethed til udfordrende klatreruter, men også i dets brede appel, der strækker sig ud over klatresamfundet. Ved midten af 1980'erne begyndte en del surfere og skatere at værdsætte holdbarheden og det karakteristiske ""løbende mand"" logo på disse klatrebukser."
Лукбук Gramicci 2023;Gramicci lookbook 2023
В некотором смысле эволюция моды повернула на полный круг. Подобно тому, как Грэхем и группа Stonemasters перепрофилировали малярные штаны и фланелевые рубашки для скалолазания, люди, не имеющие склонности к скалолазанию, нашли пользу в этих специально разработанных скалолазных штанах.;På en måde har modens udvikling vendt tilbage til fuld cirkel. Ligesom Graham og Stonemasters-gruppen ompurposede malerbukser og flannel skjorter til klatring, fandt folk uden en tilbøjelighed til at klatre nytte i disse specielt designede klatrebukser.
Это было логичным продолжением. Те самые элементы, которые сделали брюки Gramicci идеальными для таких труднодоступных мест, как Йосемити, Джошуа Три и Тахкитц, сделали их идеальными для любой деятельности, требующей силы и подвижности. Когда молодые серферы и скейтеры создавали свои собственные бренды, многие из них брали брюки Грамиччи за основу для своих моделей, что свидетельствует о непреходящем влиянии инноваций Gramicci.;Det var en logisk fortsættelse. De samme elementer, der gjorde Gramicci-bukserne ideelle til så utilgængelige steder som Yosemite, Joshua Tree og Tahquitz, gjorde dem ideelle til enhver aktivitet, der krævede styrke og mobilitet. Da unge surfere og skatere skabte deres egne mærker, tog mange af dem Gramicci-bukserne som basis for deres designs, hvilket vidner om den vedvarende indflydelse af Gramicci-innovationer.
Привлекательность функционального дизайна Gramicci не ограничилась альпинистами, серферами и скейтерами: он нашел отклик и в Японии. К началу 1990-х годов встретить пару брюк Gramicci на оживленных улицах Синдзюку было уже не редкостью. Поклонники американской контркультуры создавали свое собственное воплощение непринужденного западного стиля, который они видели в журналах и по телевизору. При этом винтажные кроссовки сочетались с рабочей одеждой, военным костюмом и классической одеждой в стиле Плюща. И снова Gramicci нашла свое место в этой мозаике моды.;Gramiccis attraktive funktionelle design var ikke begrænset til klatrere, surfere og skatere: det fandt også resonans i Japan. I begyndelsen af 1990'erne var det ikke ualmindeligt at se et par Gramicci-bukser på de travle gader i Shinjuku. Fans af amerikansk modkultur skabte deres egen fortolkning af afslappet vestlig stil, som de så i blade og på tv. Her kombineredes vintage sneakers med arbejdstøj, militære dragter og klassisk Ivy League-stil. Og igen fandt Gramicci sin plads i denne mode-mosaik.
Коллаборации бренда Gramicci;Gramicci-brand samarbejder
С годами Gramicci не утратила своей инновационности, оставаясь верной своему первоначальному этическому принципу. По-прежнему популярны культовые брюки;Med årene har Gramicci ikke mistet sin innovation og er fortsat tro mod sit oprindelige etiske princip. De ikoniske bukser er stadig populære
, а коллекция пополнилась новыми моделями, такими как более элегантные NN-Pants. Все это дополняется внедрением передовых технических тканей и сотрудничеством с такими брендами, как;og kollektionen er blevet udvidet med nye modeller som de mere elegante NN-Pants. Alt dette suppleres med implementering af avancerede tekniske stoffer og samarbejde med mærker som
, FRAPBOIS, KAPTAIN SUNSHINE, White Mountaineering, Nonnative и Nanga.;FRAPBOIS, KAPTAIN SUNSHINE, White Mountaineering, Nonnative og Nanga.
Одежда Gramicci;Gramicci tøj
Шорты Gramicci G-Shorts изготовлены из высококачественных материалов, таких как нейлон или органический хлопок, и включают в себя ряд функций, которые делают их идеально подходящими для активного отдыха и наружных прогулок.;Gramicci G-Shorts er fremstillet af materialer af høj kvalitet som nylon eller økologisk bomuld og inkluderer en række funktioner, der gør dem ideelle til aktiv fritid og udendørs ture.
G-Shorts имеют эластичный пояс с пряжкой, который упрощает регулировку размера и обеспечивает удобную посадку. Кроме того, многие модели имеют просторные карманы для хранения снаряжения или личных вещей. Большинство моделей G-Shorts также обладают быстросохнущими и дышащими свойствами.;G-Shorts har en elastisk talje med spænde, der gør det nemt at justere størrelsen og sikrer en behagelig pasform. Derudover har mange modeller rummelige lommer til opbevaring af udstyr eller personlige genstande. De fleste G-Shorts modeller har også hurtigtørrende og åndbare egenskaber.
"Брюки Gramicci - культовый элемент индустрии одежды для активного отдыха, воплощающий концепцию ""свободы движения"". Эти оригинальные брюки родились из инновационной линии брюк Gramicci в 1980-х годах и были специально разработаны с учетом требований скалолазов, используя богатый опыт компании в этой области.";"Gramicci bukser - et kultelement i industrien for aktivtøj, der indfanger ""frihed til bevægelse"" konceptet. Disse originale bukser stammer fra Gramiccis innovative bukselinje fra 1980'erne og blev specielt designet med hensyn til klatreres krav, idet man udnyttede virksomhedens omfattende erfaring på dette område."
С годами брюки Gramicci постоянно совершенствовались, отвечая меняющимся требованиям современных скалолазов, и включали в себя такие модификации, как дополнительное пространство в области бедер, ширинку на молнии спереди и практичные задние карманы с обеих сторон. Эти альпинистские брюки прочно вошли в моду среди снаряжения для активного отдыха, неизменно привлекая новое поколение пользователей благодаря своей широкой универсальности.;Gennem årene er Gramicci bukserne blevet løbende forbedret for at imødekomme de skiftende behov hos moderne klatrere og har inkluderet ændringer som ekstra plads i hofteregionen, en forreste lynlås og praktiske baglommer på begge sider. Disse klatrebukser er fast forankret i mode blandt udstyr til aktiv fritid og tiltrækker konstant en ny generation af brugere med deres store alsidighed.
Gramicci изготовлены из 100% органической хлопковой саржи, обладающей высокой прочностью, натяжением и жесткостью, способной выдерживать интенсивные движения. Брюки также подвергаются процессу окрашивания, что придает им уникальный характер и эстетическую привлекательность.;Gramicci er lavet af 100% økologisk bomuldssargetøj, som er meget holdbart, strækkeligt og stift, i stand til at modstå intens bevægelse. Bukserne gennemgår også en farvningsproces, der giver dem et unikt karakter og æstetisk appel.
Публикаций;Publikationer
79.6 тыс.;79,6 tusinde
Подписчиков;Følgere
Подписок;Følger
© 2023 clothing-encyclopedia.com. Все права защищены.;© 2023 clothing-encyclopedia.com. Alle rettigheder forbeholdes.
Изучите историю и инновации бренда одежды Gramicci. Узнайте больше о том, как Gramicci переопределил отрасль активного отдыха и аутдора, создавая комфортные и функциональные предметы гардероба;Udforsk historien og innovationerne bag tøjmærket Gramicci. Lær mere om, hvordan Gramicci har omdefineret industrien for aktiv fritid og udendørsliv ved at skabe komfortable og funktionelle garderobeelementer
clothing-encyclopedia логотип;clothing-encyclopedia logo
Логотип gramicci;Gramicci logo
gramicci официальный сайт;gramicci officiel hjemmeside
системы складок;foldningssystemer
, или;eller
системы клиньев;kilesystemer
дизайн брюк gramicci;design af Gramicci bukser
свободное лазание;fri klatring
gramicci каталог одежды 1996 г.;Gramicci tøjkatalog 1996
gramicci каталог одежды 1997 г.;Gramicci tøjkatalog 1997
бегущего человека;løbende person
свободы движения;frihed til bevægelse
gramicci instagram аватар;gramicci instagram avatar
Gramicci instagram пост от 20.07.2023;Gramicci instagram post fra 20.07.2023
Gramicci instagram пост от 15.07.2023;Gramicci instagram post fra 15.07.2023
Gramicci instagram пост от 11.07.2023;Gramicci instagram post fra 11.07.2023
Gramicci instagram пост от 10.07.2023;Gramicci instagram post fra 10.07.2023
