Бренд Onitsuka Tiger (Онитцука Тайгер) | Clothing Encyclopedia;Onitsuka Tiger mærket (Onitsuka Tiger) | Clothing Encyclopedia
Поиск;Søgning
Главная;Hjem
Бренд  Onitsuka Tiger (Онитцука Тайгер);Mærket Onitsuka Tiger (Onitsuka Tiger)
Создание;Grundlæggelse
1949 г.;1949
Основатель;Grundlægger
Кихачиро Оницука (яп. 鬼塚 喜八郎);Kihachiro Onitsuka (jap. 鬼塚 喜八郎)
Разработка;Udvikling
Япония;Japan
Страна производитель;Produktionsland
Главный офис;Hovedkontor
Япония, Кобе;Japan, Kobe
Сайт;Website
Onitsuka Tiger — японский бренд спортивной обуви и одежды, основанный Кихачиро Оницукой в 1949 году в Кобе, Япония.;Onitsuka Tiger er et japansk mærke af sportsfodtøj og tøj, grundlagt af Kihachiro Onitsuka i 1949 i Kobe, Japan.
Бренд Onitsuka Tiger стал известен на международной арене, после того когда Билл Бауэрман, сооснователь Nike, начал носить обувь Onitsuka Tiger во время своего визита в Японию. Билл Бауэрман был настолько впечатлен кроссовками японского производителя, что решил распространять их в США под брендом Blue Ribbon Sports, который позже станет компанией Nike.;Onitsuka Tiger-mærket blev kendt internationalt efter Bill Bowerman, medstifter af Nike, begyndte at bære Onitsuka Tiger sko under sit besøg i Japan. Bill Bowerman var så imponeret over de japanske producenters sneakers, at han besluttede at distribuere dem i USA under mærket Blue Ribbon Sports, som senere blev til Nike.
Первой сделкой Blue Ribbon Sports был заказ 300 пар кроссовок у компании Onitsuka Tiger для перепродажи в США.;Blue Ribbon Sports' første handel var en ordre på 300 par sneakers fra Onitsuka Tiger til videresalg i USA.
Одним из самых знаковых дизайнов Onitsuka Tiger является модель;En af de mest ikoniske designs fra Onitsuka Tiger er modellen
, которая была впервые представлена в подготовке к Олимпийским играм 1968 года в Мехико.;, som først blev præsenteret i forberedelse til De Olympiske Lege i 1968 i Mexico City.
Обувь Onitsuka Tiger известна своим комфортом, прочностью и элегантными, дизайнами. Кроссовки бренда обрели свое место как в мире спорта, так и в мире моды.;Onitsuka Tiger sko er kendt for deres komfort, holdbarhed og elegante design. Mærkets sneakers har fundet deres plads både i sportens verden og i modeverdenen.
В 1977 году компания Onitsuka Tiger объединилась с двумя другими производителями спортивной одежды и товаров - GTO и JELENK, в результате чего была основана компания ASICS.;I 1977 fusionerede Onitsuka Tiger med to andre producenter af sportsbeklædning og -udstyr - GTO og JELENK, hvilket resulterede i grundlæggelsen af ASICS.
С 1977 года обувь Onitsuka Tiger продается как линейка бренда ASICS для повседневного образа жизни.;Siden 1977 er Onitsuka Tiger fodtøj blevet solgt som en del af ASICS' hverdagslivsstilsmærke.
Содержание;Indhold
Популярная культура;Populær kultur
Обувь;Fodtøj
"Брюс Ли и Джим Келли за кулисами съемок фильма ""Выход дракона"" в обуви бренда Onitsuka Tiger";"Bruce Lee og Jim Kelly bag kulisserne på filmoptagelserne af ""Enter the Dragon"" i Onitsuka Tiger sko"
"Джим Келли в сцене боя из фильма ""Выход дракона"", в обуви бренда Onitsuka Tiger (рекламный постер)";"Jim Kelly i en kampsports scene fra filmen ""Enter the Dragon"", i Onitsuka Tiger sko (reklameplakat)"
"Джим Келли в обуви бренда Onitsuka Tiger (фрагмент из фильма ""Выход дракона"")";"Jim Kelly i Onitsuka Tiger sko (filmklip fra ""Enter the Dragon"")"
"Брюс Ли в обуви бренда Onitsuka Tiger за кулисами съемок фильма ""Выход дракона""";"Bruce Lee i Onitsuka Tiger sko bag kulisserne på filmoptagelserne af ""Enter the Dragon"""
"Мастер боевых искусств Брюс Ли выбирал обувь бренда Onitsuka Tiger для своих тренировок во время съемок культового фильма ""Выход дракона"" (Enter the Dragon), 1973 года выпуска. Кроме того, в одной из зрелищных боевых сцен фильма, Джим Келли, коллега Брюса Ли по съемочной площадке, был замечен в бело-голубых кроссовках бренда Onitsuka Tiger, модели Mexico 66.";"Kampsportsmesteren Bruce Lee valgte Onitsuka Tiger sko til sine træninger under optagelserne til den kultiske film ""Enter the Dragon"" (1973). Derudover blev Jim Kelly, Bruce Lees medskuespiller på settet, set i hvid-blå Onitsuka Tiger sneakers, model Mexico 66, i en af filmens spektakulære kampsportsscener."
"В культовом фильме ""Убить Билла"", Ума Турман играет роль героини по имени Беатрикс Киддо (The Bride). В одной из наиболее запоминающихся сцен этого фильма, она носит пару желтых кроссовок Onitsuka Tiger, которые имитируют обувь, которую Брюс Ли носил в его фильме ""Игра смерти"".";"I den kultiske film ""Kill Bill"", spiller Uma Thurman rollen som heltinden Beatrix Kiddo (The Bride). I en af filmens mest mindeværdige scener bærer hun et par gule Onitsuka Tiger sneakers, der imiterer de sko, Bruce Lee bar i hans film ""Game of Death""."
"Кроссовки, которые носила Ума Турман в ""Убить Билла"", были моделью Onitsuka Tiger Tai Chi, и эта модель стала достаточно популярной после выхода фильма.";"De sneakers, Uma Thurman bar i ""Kill Bill"", var Onitsuka Tiger Tai Chi-modellen, og denne model blev ret populær efter filmens udgivelse."
"Фрагмент из фильма ""Убить Билла"". Ума Турман в обуви бренда Onitsuka Tiger, модель Tai-Chi";"Klip fra filmen ""Kill Bill"". Uma Thurman i Onitsuka Tiger fodtøj, model Tai-Chi"
Рекламный постер модели Tai-Chi от Onitsuka Tiger;Reklameplakat for Tai-Chi-modellen fra Onitsuka Tiger
THE ONITSUKA - бренд люксовой одежды и обуви, запущенной в 2019 году. Адаптация бренда Onitsuka Tiger для премиум-сегмента. Первая капсульная коллекция THE ONITSUKA × NICK WOOSTER представляет собой сотрудничество с иконой мужской моды Ником Вустером. В коллекции одежда и обувь изготовленная в Японии.;THE ONITSUKA - et luksusmærke af tøj og fodtøj lanceret i 2019. En tilpasning af Onitsuka Tiger-mærket til premium-segmentet. Den første kapselsamling THE ONITSUKA × NICK WOOSTER præsenterer et samarbejde med mandemodeikonet Nick Wooster. Kollektionen omfatter tøj og fodtøj fremstillet i Japan.
"Модель Onitsuka Tiger Mexico 66 названа в честь Олимпийских игр 1968 года, которые проходили в Мехико. Впервые обувь была представлена в рамках подготовки к олимпийским играм 1966 года, отсюда и название ""Mexico 66"".";"Onitsuka Tiger Mexico 66-modellen er opkaldt efter De Olympiske Lege i 1968, som blev afholdt i Mexico City. Fodtøjet blev første gang præsenteret som en del af forberedelserne til de olympiske lege i 1966, deraf navnet ""Mexico 66""."
"Дизайн прост, но стилен, обычно имеет тонкий профиль с низким верхом и дизайн, включающий два различных цвета кожи, замши или синтетического материала. Верхняя часть украшена фирменными ""тигриными полосками"" Onitsuka Tiger, которые часто имеют контрастный цвет.";"Designet er enkelt, men stilfuldt, og har typisk en slank profil med lav top og et design, der indeholder to forskellige farver i læder, ruskind eller syntetisk materiale. Overdelen er dekoreret med Onitsuka Tigers karakteristiske ""tigerstriber"", som ofte er i en kontrastfarve."
Модель Mexico 66 была отмечена за комфорт, долговечность и универсальную эстетику, которая может хорошо сочетаться со многими видами повседневной одежды. Модель Mexico 66 также приобрела определенный культурный статус, отчасти благодаря своему появлению в различных фильмах и средствах массовой информации.;Mexico 66-modellen er blevet rost for sin komfort, holdbarhed og alsidige æstetik, som passer godt sammen med mange typer af hverdagstøj. Mexico 66 har også opnået en vis kulturel status, delvist på grund af dens optræden i forskellige film og medier.
Mexico 66 остается популярной моделью в линейке обуви Onitsuka Tiger.;Mexico 66 forbliver en populær model i Onitsuka Tigers fodtøjslinje.
Актер и музыкант Джаред Лето в обуви бренда Onitsuka Tiger;Skuespilleren og musikeren Jared Leto i Onitsuka Tiger fodtøj
Модель и актриса Кайя Гербер в обуви бренда Onitsuka Tiger;Modellen og skuespillerinden Kaia Gerber i Onitsuka Tiger fodtøj
Модель Хейли Бибер в обуви бренда Onitsuka Tiger;Model Hayley Bieber i sko fra Onitsuka Tiger
Эддисон Рэй певица, танцовщица и актриса в обуви бренда Onitsuka Tiger;Addison Rae, sanger, danser og skuespiller i sko fra Onitsuka Tiger
"- это еще одна культовая модель из линейки Onitsuka Tiger. Первоначально она была выпущена в 1970-х годах под названием ""Cortez"", но позже название было изменено на ""Corsair"" из-за спора о торговой марке.";"er endnu en kultmodel fra Onitsuka Tiger serien. Oprindeligt blev den lanceret i 1970'erne under navnet ""Cortez"", men blev senere omdøbt til ""Corsair"" på grund af et varemærkestrid."
Corsair приобрели значительную известность в мире беговой обуви благодаря своему инновационному дизайну. Это была одна из первых беговых кроссовок с межподошвой двойной плотности, которая была разработана для обеспечения улучшенной поддержки и амортизации бегунов.;Corsair opnåede betydelig berømmelse i løbeskoverdenen takket være sit innovative design. Det var en af de første løbesko med en mellemsål af dobbelt densitet, der var udviklet for at give forbedret støtte og dæmpning til løbere.
Межподошва кроссовок содержит два различных типа пены с разным уровнем жесткости. Такая конструкция призвана обеспечить лучшую амортизацию в области пятки и большую гибкость в передней части стопы, тем самым снижая риск травм и повышая общий комфорт.;Skoens mellemsål indeholder to forskellige typer skum med forskellig fasthed. Denne konstruktion sigter mod at give bedre dæmpning i hælområdet og øget fleksibilitet i forfoden, hvilket reducerer risikoen for skader og øger den samlede komfort.
"Верхняя часть Corsair изготовлена из кожи или замши и обычно украшена фирменными полосками Onitsuka Tiger ""Tiger Stripes"". Тонкий, низкопрофильный дизайн и непринужденная эстетика сделали их популярными не только среди спортсменов, но и для повседневной носки.";"Overdelen af Corsair er lavet af læder eller ruskind og er normalt dekoreret med Onitsuka Tigers signatur ""Tiger Stripes"". Det slanke, lavprofilerede design og afslappede æstetik har gjort dem populære ikke kun blandt atleter, men også til daglig brug."
"С точки зрения значимости в поп-культуре, Corsair связаны с компанией Nike. Сооснователь компании Nike Билл Боуэрман участвовал в разработке оригинальных Onitsuka Tiger ""Cortez"". После спора о торговой марке компания Nike выпустила свою собственную версию ""Cortez"", которая стала одной из самых популярных моделей Nike.";"Fra et popkulturelt synspunkt er Corsair forbundet med Nike. Nike's medstifter Bill Bowerman var involveret i udviklingen af de oprindelige Onitsuka Tiger ""Cortez"". Efter varemærkestriden udgav Nike sin egen version af ""Cortez"", som blev en af Nikes mest populære modeller."
Onitsuka Tiger Tai-Chi - модель известна своим минималистским, классическим дизайном, кроссовки не только удобны, но и обеспечивают гибкую, плотную посадку, которая идеально подходит как для спортивной, так и для повседневного использования.;Onitsuka Tiger Tai-Chi - kendt for sit minimalistiske, klassiske design, er skoene ikke kun komfortable, men giver også en fleksibel, tæt pasform, som er ideel både til sports- og hverdagsbrug.
Модель Tai-Chi получила свое название от одноименного китайского боевого искусства, олицетворяющего баланс, гибкость и спокойствие.;Tai-Chi modellen har fået sit navn fra den kinesiske kampsport af samme navn, der symboliserer balance, fleksibilitet og ro.
Дизайн обуви включает мягкий верх из кожи или синтетических материалов, обеспечивающий легкий комфорт и легкость движений.;Skodesign inkluderer en blød overdel af læder eller syntetiske materialer, hvilket sikrer let komfort og smidighed i bevægelserne.
"Модель Onitsuka Tiger Tai-Chi получила широкую известность после того, персонаж Умы Турман в фильме ""Убить Билла"" также носила обувь Onitsuka Tiger Tai-Chi.";"Onitsuka Tiger Tai-Chi modellen blev bredt kendt efter Uma Thurmans karakter i filmen ""Kill Bill"" også bar Onitsuka Tiger Tai-Chi sko."
Публикаций;Publikationer
342 тыс.;342 tusind
Подписчиков;Følgere
Подписок;Følger
© 2023 clothing-encyclopedia.com. Все права защищены.;© 2023 clothing-encyclopedia.com. Alle rettigheder forbeholdes.
История и культурное влияние бренда Onitsuka Tiger. Описание моделей бренда и связь с знаменитостями.;Historien og kulturelle indflydelse af Onitsuka Tiger mærket. Beskrivelse af mærkets modeller og forbindelsen med berømtheder.
clothing-encyclopedia логотип;clothing-encyclopedia logo
Логотип onitsuka tiger;Onitsuka Tiger logo
onitsuka tiger официальный сайт;onitsuka tiger officielle hjemmeside
Брюс Ли и Джим Келли за кулисами съемок фильма 'Выход дракона' в обуви бренда Onitsuka Tiger;Bruce Lee og Jim Kelly bag kulisserne på optagelserne af filmen 'Enter the Dragon' i sko fra Onitsuka Tiger
Выход дракона;Enter the Dragon
Джим Келли в сцене боя из фильма 'Выход дракона', в обуви бренда Onitsuka Tiger (рекламный постер);Jim Kelly i en kampscene fra filmen 'Enter the Dragon', i sko fra Onitsuka Tiger (reklameplakat)
Джим Келли в обуви бренда Onitsuka Tiger (фрагмент из фильма 'Выход дракона');Jim Kelly i sko fra Onitsuka Tiger (filmklip fra 'Enter the Dragon')
Брюс Ли в обуви бренда Onitsuka Tiger за кулисами съемок фильма 'Выход дракона';Bruce Lee i sko fra Onitsuka Tiger bag kulisserne på optagelserne af filmen 'Enter the Dragon'
Убить Билла;Dræb Bill
, Ума Турман играет роль героини по имени Беатрикс Киддо (The Bride). В одной из наиболее запоминающихся сцен этого фильма, она носит пару желтых кроссовок Onitsuka Tiger, которые имитируют обувь, которую Брюс Ли носил в его фильме;Uma Thurman spiller en heltinde ved navn Beatrix Kiddo (The Bride). I en af de mest mindeværdige scener i denne film bærer hun et par gule Onitsuka Tiger sneakers, som efterligner skoene, Bruce Lee bar i hans film
Игра смерти;Spil af Død
Фрагмент из фильма 'Убить Билла'. Ума Турман в обуви бренда Onitsuka Tiger;Uddrag fra filmen 'Dræb Bill'. Uma Thurman i Onitsuka Tiger sko
тигриными полосками;med tigerstriber
Джаред Лето в обуви бренда Onitsuka Tiger;Jared Leto i Onitsuka Tiger sko
, но позже название было изменено на;men navnet blev senere ændret til
. После спора о торговой марке компания Nike выпустила свою собственную версию;Efter en varemærkestrid udgav Nike sin egen version
onitsuka tiger instagram аватар;onitsuka tiger Instagram-avatar
onitsuka tiger instagram пост от 10.06.2023;onitsuka tiger Instagram-post fra 10.06.2023
onitsuka tiger instagram пост от 12.06.2023;onitsuka tiger Instagram-post fra 12.06.2023
onitsuka tiger пост от 12.06.2023;onitsuka tiger-post fra 12.06.2023
onitsuka tiger instagram пост от 14.06.2023;onitsuka tiger Instagram-post fra 14.06.2023
onitsuka tiger instagram пост от 19.06.2023;onitsuka tiger Instagram-post fra 19.06.2023
