Бренд The Row | Clothing Encyclopedia;The Row mærket | Clothing Encyclopedia
Поиск;Søg
Главная;Hjem
Бренд The Row;The Row mærket
Создание;Grundlæggelse
2006 г.;2006
Основатели;Grundlæggere
Мэри-Кейт Олсен и Эшли Фуллер Олсен (Mary-Kate Olsen / Ashley Fuller Olsen);Mary-Kate Olsen og Ashley Fuller Olsen (Mary-Kate Olsen / Ashley Fuller Olsen)
Разработка;Udvikling
США;USA
Главный офис;Hovedkontor
США, Нью-Йорк;USA, New York
Сайт;Hjemmeside
The Row - бренд одежды класса люкс, основанный американскими актрисами Мэри-Кейт и Эшли Олсен в 2006 году. Бренд The Row известен своим минималистичным дизайном и высококачественными материалами, The Row транслирует сдержанность и элегантность.;The Row - et luksusbeklædningsmærke grundlagt af de amerikanske skuespillerinder Mary-Kate og Ashley Olsen i 2006. The Row er kendt for sit minimalistiske design og højkvalitetsmaterialer, udstråler diskretion og elegance.
Изначально бренд The Row задумывался с целью создания идеальной футболки, но быстро расширился до полного спектра коллекций готовой одежды, включая верхнюю одежду, обувь, сумки и аксессуары.;Oprindeligt blev The Row tænkt som en skaber af den perfekte T-shirt, men udvidede hurtigt til et fuldt spektrum af ready-to-wear kollektioner, herunder overtøj, sko, tasker og tilbehør.
В дизайне бренда The Row часто используется палитра приглушенных цветов.;I designet af The Row mærket anvendes ofte en palet af dæmpede farver.
Сестры Олсен, Мэри-Кейт на позиции креативного директора компании и Эшли на позиции CEO, получили признание благодаря своему уникальному дизайнерскому видению и склонности к ненавязчивой роскоши, это помогло бренду The Row получить ряд престижных наград, в том числе от;Olsen-søstrene, Mary-Kate som kreativ direktør for firmaet og Ashley som CEO, har opnået anerkendelse takket være deres unikke designvision og tilbøjelighed til diskret luksus, hvilket har hjulpet The Row med at opnå adskillige prestigefyldte priser, herunder fra
Совета Модельеров Америки (CFDA).;Rådet af amerikanske mode-designere (CFDA).
Содержание;Indhold
История;Historie
Коллекции;Kollektioner
Сотрудничество;Samarbejde
Инстаграм лента;Instagram-feed
Интерьер магазина The Row;Interiør af The Row butikken
В 2005 году Эшли Олсен была вдохновлена создать идеальную футболку, что стало началом для бренда The Row. Эшли экспериментировала с дизайном, учитывая различные параметры женщин, чтобы добиться универсальности и комфорта. На следующий год, в 2006, сестры Олсен представили коллекцию бренда The Row из семи элементов, включая упомянутую футболку, леггинсы из сатина и платье из кашемира. Эта коллекция полностью была приобретена сетью американских магазинов Barneys New York. Со временем ассортимент бренда The Row стал более разнообразным, добавились аксессуары и обувь. Бренд назван в честь Сэвил-Роу - улицы в районе Мейфэр, центрального Лондона.;I 2005 blev Ashley Olsen inspireret til at skabe den perfekte T-shirt, som blev begyndelsen på The Row-mærket. Ashley eksperimenterede med designet og tog højde for forskellige kvinders mål for at opnå alsidighed og komfort. Året efter, i 2006, præsenterede Olsen-søstrene en The Row-samling på syv elementer, herunder den nævnte T-shirt, satinleggings og en kashmir-kjole. Denne samling blev fuldstændig købt af det amerikanske butiksnetværk Barneys New York. Med tiden blev The Row's sortiment mere varieret, herunder tilbehør og sko. Mærket blev opkaldt efter Savile Row - en gade i Mayfair, det centrale London.
"Сестры Олсен работают в студии The Row, расположенной в районе Трайбека с 2012 года. Также они расширили своё присутствие, открыв офисы в Париже в 2011 году и в Лондоне в 2019 году. С начала создания бренда сестры Олсен предпочитали оставаться в тени, позволяя одежде ""говорить"" за себя, избегая публичности в течение первых трёх лет его существования.";"Olsen-søstrene har arbejdet i The Row studiet, beliggende i Tribeca-området siden 2012. De har også udvidet deres tilstedeværelse ved at åbne kontorer i Paris i 2011 og i London i 2019. Fra brandets begyndelse har Olsen-søstrene foretrukket at holde sig ude af rampelyset, lader tøjet ""tale"" for sig selv, undgår offentligheden i de første tre år af dets eksistens."
Рюкзак The Row из кракодиловой кожи;The Row rygsæk af krokodilleskind
В 2018 году, после двух лет подготовки, была анонсирована обширная мужская коллекция, доступная к покупке с октября того же года.;I 2018, efter to års forberedelse, blev en omfattende herrekollektion annonceret, tilgængelig til køb fra oktober samme år.
Однако 2020 год принес проблемы: из-за пандемии COVID-19 и банкротства Barneys New York, The Row столкнулся с финансовыми трудностями, что вынудило сократить персонал.;Men 2020 bragte problemer: på grund af COVID-19-pandemien og konkursen i Barneys New York, stod The Row over for økonomiske vanskeligheder, hvilket tvang dem til at reducere personalet.
Несмотря на это, в сентябре 2021 года бренд The Row радовал своих поклонников выпуском дебютной детской коллекции.;Ikke desto mindre glædede The Row sine fans i september 2021 med lanceringen af ​​deres debut børnekollektion.
В 2011 году бренд The Row совместно с Toms Shoes (компания по производству обуви) представил специальную коллекцию в соответствии с инициативой Tom's one-for-one. Впоследствии сестры Олсен вместе с Томсом приняли участие в благотворительной акции по раздаче обуви в Гондурасе.;I 2011 præsenterede The Row i samarbejde med Toms Shoes (et skoproduktionsfirma) en særlig kollektion i overensstemmelse med Toms one-for-one-initiativet. Senere deltog Olsen-søstrene sammen med Toms i en velgørenhedsaktion til at distribuere sko i Honduras.
Год спустя, в 2012 г., The Row в сотрудничестве с художником Дэмиеном Херстом выпустил эксклюзивную серию рюкзаков. В этой линейке был представлен культовый рюкзак The Row из кракодиловой кожи, украшенный 12 уникальными рисунками, созданными Херстом. Часть доходов от продажи этих рюкзаков была передана в фонд ЮНИСЕФ (Детский фонд ООН).;Året efter, i 2012, udgav The Row i samarbejde med kunstneren Damien Hirst en eksklusiv serie rygsække. Denne linje præsenterede den ikoniske The Row rygsæk af krokodilleskind, dekoreret med 12 unikke designs skabt af Hirst. En del af indtægterne fra salget af disse rygsække blev doneret til UNICEF (FN's Børnefond).
В 2015 году в результате сотрудничества The Row и Oliver Peoples (американский бренд очков) была создана коллекция очков, включающая в себя как оптические, так и солнцезащитные модели. В 2018 году они вновь объединились, чтобы представить вторую линию очков, вдохновленную модными тенденциями 1990-х годов.;I 2015, som et resultat af samarbejdet mellem The Row og Oliver Peoples (et amerikansk brillebrand), blev en brillekollektion skabt, som omfattede både optiske og solbriller. I 2018 gik de sammen igen for at præsentere en anden linje af briller, inspireret af modetrends fra 1990'erne.
В сфере искусства The Row тесно сотрудничал с Музеем Ногучи для своей презентации осень 2018 на Неделе моды в Нью-Йорке в феврале 2018 года. Сестры Олсен украсили свой шоу-рум скульптурами Исаму Ногучи, создав уникальную сцену для своих моделей. Позже, в сентябре того же года, они вновь объединили усилия с Музеем Ногучи и создали инсталляцию на нью-йоркском рынке Dover Street Market. На этой художественной выставке были представлены наряды из коллекции The Row осень 2018, а также две скульптуры Ногучи и три световые панели Akari.;Inden for kunstverdenen har The Row samarbejdet tæt med Noguchi-museet for deres efterårs 2018-præsentation under New York Fashion Week i februar 2018. Olsen-søstrene udsmykkede deres showroom med skulpturer af Isamu Noguchi, hvilket skabte en unik scene for deres modeller. Senere i september samme år samarbejdede de igen med Noguchi-museet og skabte en installation på New York's Dover Street Market. På denne kunstudstilling blev tøj fra The Row efterår 2018-kollektionen samt to Noguchi-skulpturer og tre Akari-lyspaneler præsenteret.
Коллекции бренда The Row;The Row's kollektioner
Осенняя коллекция бренда The Row 2024;The Row's efterårskollektion 2024
Коллекция бренда The Row весна/лето 2024;The Row's forår/sommer kollektion 2024
Коллекция бренда The Row - осень 2023;The Row's efterårskollektion 2023
Коллекция бренда The Row - весна 2023;The Row's forårskollektion 2023
Публикаций;Publikationer
2,1 млн;2,1 mio.
Подписчиков;Følgere
Подписок;Følger
© 2023 clothing-encyclopedia.com. Все права защищены.;© 2023 clothing-encyclopedia.com. Alle rettigheder forbeholdes.
История создания и описание бренда The Row, примеры коллекций;Historien om og beskrivelsen af The Row-mærket, eksempler på kollektioner
clothing-encyclopedia логотип;clothing-encyclopedia logo
The Row официальный сайт;The Row officiel hjemmeside
говорить;tale
Осенняя коллекция бренда The Row 'Resort' 2024;The Row's efterårskollektion 'Resort' 2024
the row instagram аватар;the row instagram avatar
The Row instagram пост от 28.08.2023;The Row instagram post fra 28.08.2023
The Row instagram пост от 15.08.2023;The Row instagram post fra 15.08.2023
The Row instagram пост от 11.08.2023;The Row instagram post fra 11.08.2023
The Row instagram пост от 10.08.2023;The Row instagram post fra 10.08.2023
